ID	LON	LAT
9822	-4.02	40.52
9823	-5.84	43.34
9824	-4.91	42.91
9825	-3.88	40.4
9826	-6.71	42.49
9827	0.69	42.78
9828	-6.15	42.5
9830	-3.28	36.97
9831	-3.39	38.54
9832	-3.69	40.54
9833	-4.21	40.38
9834	-3.9	40.51
9835	-6.57	40.61
9836	-1.32	41.25
9837	-5.6	37.94
9838	-5.38	41.83
9839	-4.27	40.44
9840	-1.43	41.13
9841	-4.15	40.59
9843	-3.92	40.53
9844	0.19	42.27
9845	-3.96	40.48
9846	-3.02	42.31
9847	-5.7	43.31
9848	-5.77	40.11
9849	-4.11	40.65
9850	-0.7	42.86
9851	-6.1	42.96
9852	-3.75	40.46
9853	-5.91	43.33
9854	-5.88	43.36
9855	-3.89	40.57
9856	-4.0	40.51
9857	-3.8	40.33
9858	-3.8	40.98
9859	-3.88	40.5
9860	-2.62	42.24
9861	-3.21	40.72
9862	-3.67	40.45
9864	2.69	41.76
9866	-2.79	41.89
9867	-3.22	40.94
9868	2.37	41.78
9869	-5.28	36.76
9870	0.17	41.91
9871	-3.99	40.75
9873	-5.45	37.94
9874	-3.0	42.34
9875	-5.87	43.38
9876	0.99	41.34
9877	-5.6	43.02
9878	-3.62	40.78
9879	-1.12	37.6
9880	-3.44	42.72
9881	-5.32	40.46
9882	-4.26	40.46
9883	-2.56	42.1
9885	-3.68	41.14
9886	1.73	42.38
9887	-4.77	40.4
9888	-3.31	40.93
9890	-5.07	43.16
9891	2.92	41.93
9892	-6.96	42.68
9894	0.76	42.59
9895	2.57	41.78
9897	-5.63	40.95
9898	-3.58	41.14
9899	0.84	42.54
9900	-6.01	37.38
9901	-2.98	42.27
9902	-3.24	40.71
9903	-3.1	42.31
9904	-3.31	40.95
9905	-4.01	40.76
9906	4.25	40.0
9908	3.47	50.72
9909	3.3	50.59
9910	3.52	50.68
9911	4.28	47.16
9912	4.55	46.67
9914	5.33	47.58
9915	3.94	47.45
9917	4.34	46.69
9918	5.21	47.43
9920	4.32	48.54
9921	4.41	48.57
9924	4.24	48.59
9925	4.52	48.91
9926	4.1	48.86
9927	3.69	44.05
9928	3.77	44.12
9929	3.71	43.92
9930	4.14	43.91
9932	4.33	44.12
9933	3.89	43.74
9935	2.93	50.6
9937	2.69	50.79
9938	2.99	50.65
9939	-7.45	31.48
9941	-8.54	40.92
9942	-1.34	41.32
9943	-5.74	39.73
9944	-6.36	36.83
9945	-3.11	41.8
9946	-6.34	38.92
9947	-3.9	40.74
9948	-3.54	41.05
9949	-6.93	42.69
9950	0.76	42.63
9951	82.5667	51.3333
9952	82.55	51.32
9953	82.19	51.33
9955	60.46	54.09
9956	60.48	54.06
9957	51.75	53.04
9958	49.48	53.33
9959	49.48	53.33
9960	57.56	51.31
9962	15.32	40.57
9963	16.26	39.18
9964	16.23	38.36
9965	16.22	38.38
9966	15.65	40.28
9968	16.27	39.27
9969	16.45	40.18
9970	11.2376	46.3716
9971	11.331	46.513
9972	11.331	46.513
9973	11.2832	46.366
9974	11.2928	46.3378
9975	11.2928	46.3378
9976	11.167	46.2543
9978	10.817	46.6297
9979	11.23	46.36
9980	16.17	38.62
9981	16.24	38.76
9982	16.47	39.01
9983	12.87	41.62
9984	12.87	41.62
9985	23.65	41.43
9986	25.2	41.59
9987	23.5	41.43
9988	43.4767	41.7942
9990	46.2831	41.8296
9991	46.3728	41.2381
9993	42.2394	38.6425
9995	9.4	48.14
9996	8.8	48.52
